link,current_slice_id,future_slice_id,label
423051,698,716,1
29916,686,699,1
157521,9,35,1
177229,3,26,1
267221,0,16,1
236371,201,216,1
68171,673,686,2
214384,186,200,1
269037,6,23,1
240949,6,24,1
279614,8,23,1
321542,216,237,2
514848,5,34,1
176354,5,28,1
619861,142,158,1
153900,7,11,1
270827,7,21,1
109357,166,185,1
143110,7,24,1
263973,9,11,1
214809,6,18,1
575888,5,24,1
376070,3,30,1
383051,6,24,1
263674,2,30,1
172362,7,14,1
544337,1,26,1
412498,9,12,1
280055,7,27,1
277455,9,31,1
41471,7,19,1
653724,15,33,1
622765,171,196,1
336520,2,16,1
12792,8,13,1
73091,8,14,1
338496,7,11,1
614858,6,24,1
181912,10,35,1
311303,9,16,1
58249,1,13,1
111910,8,14,1
569366,7,31,1
214614,0,27,1
316883,9,36,1
622673,219,235,1
138953,3,22,1
270845,1,15,1
623390,167,194,1
185009,5,22,1
136503,6,17,1
199491,5,16,1
634566,8,32,1
225158,9,23,1
609891,8,14,1
492667,1,13,1
63098,389,402,1
504525,7,21,1
550265,197,225,1
450508,5,11,1
209126,5,12,1
515413,0,26,1
72391,6,16,1
544849,9,26,1
110485,4,18,1
516334,10,16,1
382229,85,99,1
357714,0,27,1
619867,9,17,1
238940,6,32,1
269011,4,24,1
164941,3,23,1
566948,6,16,1
38534,7,24,1
263825,2,28,1
662486,6,33,1
152814,7,27,1
38598,127,143,1
371089,696,717,1
278927,125,138,1
181979,4,31,1
32103,192,213,1
250008,7,32,1
374693,2,27,1
515263,5,19,1
182302,2,19,1
224987,10,22,1
199768,9,30,1
360454,193,213,1
674648,8,12,1
273602,12,35,1
343673,2,27,1
70581,1,16,1
504218,152,166,1
314817,2,25,1
277949,9,29,1
440141,10,33,1
615310,4,17,1
509443,7,35,1
338605,6,27,1
335591,2,26,1
610288,1,28,1
113373,185,197,1
589225,391,410,1
179788,5,11,1
316083,4,23,1
33863,4,21,1
57116,7,11,1
33391,10,13,1
323208,6,33,1
378770,3,31,1
33312,6,18,1
39758,8,14,1
182587,8,27,1
653616,6,31,1
173689,3,21,1
335693,8,19,1
339436,5,28,1
354721,9,30,1
279136,5,14,1
254114,4,31,1
593994,0,18,1
268478,0,26,1
141319,10,33,1
183559,1,23,1
232762,9,11,1
309017,4,28,1
343386,2,17,1
595447,7,22,1
338345,3,19,1
171309,3,18,1
467748,6,14,1
659007,167,180,1
578194,1,15,1
271054,7,24,1
39404,6,27,1
620007,6,27,1
277350,8,32,1
273507,7,16,1
166230,217,231,1
9784,9,19,1
629629,239,242,2
544186,8,19,1
619735,10,22,1
503266,4,13,1
332981,3,13,1
58878,2,15,1
175398,4,17,1
506593,10,33,1
279614,8,35,1
267221,0,28,1
504440,7,14,1
238855,9,28,1
503607,213,228,1
243888,7,25,1
354721,9,38,1
515266,6,30,1
662351,9,22,1
214386,186,197,1
358674,9,31,1
336634,7,21,1
264317,7,19,1
476158,3,17,1
215349,4,21,1
173689,3,29,1
336532,7,22,1
9778,629,655,1
315980,0,24,1
357388,5,24,1
576914,2,26,1
641785,5,14,1
268159,10,39,1
255825,5,13,1
593994,0,20,1
38653,2,27,1
629597,6,16,1
333470,10,27,1
273636,7,13,1
310907,0,12,1
288581,535,553,2
339436,5,30,1
233155,9,37,1
629616,10,29,1
300800,8,15,1
370489,5,22,1
576139,616,645,2
288276,7,32,1
507695,7,13,1
319488,10,28,1
539670,2,12,1
335693,8,21,1
504764,188,202,1
511231,130,142,2
272419,10,34,1
191497,223,250,1
278530,8,35,1
636342,2,27,1
335548,4,19,1
263674,2,14,1
376070,3,14,1
675571,3,25,1
264343,5,25,1
269032,4,19,1
639102,3,21,1
507905,0,12,1
255825,5,15,1
273636,7,15,1
310907,0,14,1
641785,5,16,1
335693,8,23,1
300800,8,17,1
539670,2,14,1
333470,10,29,1
182587,8,31,1
143219,6,34,1
629597,6,18,1
288276,7,34,1
370489,5,24,1
576914,2,28,1
507695,7,15,1
339436,5,32,1
593994,0,22,1
338488,387,408,1
476158,3,20,1
55200,8,37,1
264228,10,11,1
507905,0,19,1
377522,0,17,1
279136,5,25,1
593994,0,29,1
39758,8,25,1
618554,3,14,1
625814,12,16,1
171619,51,66,1
60865,2,25,1
264317,7,22,1
173689,3,32,1
58660,2,20,1
374580,2,31,1
136925,9,11,1
335633,0,13,1
277685,3,13,1
182937,7,13,1
333127,2,15,1
536687,9,11,1
629616,10,30,1
182668,1,24,1
172006,4,17,1
175338,9,16,1
282491,9,31,1
269855,7,33,1
253173,693,707,1
477267,498,527,1
662351,9,38,1
467748,6,31,1
237325,1,20,1
358932,194,205,1
181912,10,19,1
38865,5,23,1
283431,6,28,1
277455,9,15,1
503266,4,30,1
620130,5,28,1
172594,72,99,1
650042,3,17,1
476171,10,39,1
9784,9,36,1
569366,7,15,1
57936,5,14,1
377185,4,18,1
273507,7,33,1
152856,7,23,1
516835,10,13,1
177118,3,31,1
528890,5,33,1
34357,127,138,1
70045,3,11,1
312506,5,27,1
536687,9,37,1
247668,2,15,1
588863,10,11,1
315753,4,31,1
136925,9,37,1
176900,0,25,1
317214,8,36,1
660865,4,27,1
323350,0,16,1
376851,2,27,1
508525,10,13,1
154447,6,14,1
30790,2,20,1
321552,292,303,2
502765,4,23,1
502250,8,16,1
182123,2,28,1
348282,10,16,1
101786,156,175,1
70938,4,14,1
581897,453,464,1
273677,201,217,1
516426,3,25,1
237366,5,17,1
508737,3,18,1
223374,10,25,1
278479,4,29,1
332981,3,30,1
273573,7,28,1
41471,7,11,1
269011,208,229,1
544910,1,13,1
532078,0,26,1
270245,7,25,1
634566,8,17,1
73208,6,19,1
504929,194,208,1
63277,3,23,1
383727,0,28,1
366387,5,16,1
315013,2,23,1
244368,10,12,1
269768,176,194,1
283426,2,22,1
214797,191,206,1
255880,1,11,1
456647,156,175,1
182723,2,15,1
321033,2,14,1
497944,7,30,1
73688,10,22,1
30790,2,29,1
639833,68,82,1
501232,7,34,1
243684,153,166,1
358969,6,26,1
63277,3,25,1
269768,176,196,1
315013,2,25,1
501232,7,36,1
37449,6,11,1
550917,5,19,1
452908,72,90,1
244368,10,14,1
376109,8,20,1
182723,2,17,1
366387,5,18,1
255880,1,13,1
283426,2,24,1
639833,68,84,1
497944,7,32,1
243684,153,168,1
73688,10,24,1
321033,2,16,1
336725,8,15,1
577953,150,169,1
155360,4,25,1
238940,6,18,1
505075,154,169,1
214821,642,666,1
53538,6,25,1
196044,107,117,1
317213,1,17,1
215352,165,192,1
529939,147,160,1
608189,0,26,1
181979,4,17,1
224827,3,13,1
70810,3,16,1
544911,8,13,1
223467,1,12,1
250008,7,18,1
678629,3,29,1
171358,8,18,1
315461,8,18,1
143373,10,20,1
613099,5,15,1
348594,5,31,1
303620,6,24,1
543314,7,24,1
277761,9,30,1
324159,0,21,1
4161,1,24,1
158418,0,18,1
281950,3,22,1
172160,2,29,1
652793,1,23,1
278464,3,29,1
312629,7,21,1
20466,2,11,1
226013,164,187,1
179584,2,22,1
614402,149,174,1
575788,9,17,1
381962,0,15,1
232407,4,22,1
182496,9,19,1
627459,2,23,1
323228,10,22,1
257812,0,13,1
243216,2,21,1
280575,5,24,1
256175,5,18,1
216033,7,32,1
179814,3,11,1
629132,2,16,1
494353,6,14,1
173176,131,150,1
33326,0,27,1
554385,200,213,1
336231,10,33,1
220400,8,30,1
262604,5,24,1
